word,colour,stim_condition,correct_res,key_resp.corr,key_resp.rt,,,
GREEN,blue,i,b,1,0.6888207,,,
YELLOW,red,i,r,1,0.6939868,,,
GREEN,blue,i,b,1,0.8731566,,,
BLUE,red,i,r,1,0.8179095,,,
RED,green,i,g,1,0.7763198,,,
BLUE,yellow,i,y,1,0.4464505,,,
GREEN,yellow,i,y,0,0.4763238,,,
YELLOW,blue,i,b,1,0.5587791,,,
RED,yellow,i,y,1,0.838445,,,
GREEN,red,i,r,1,0.5695438,,,
RED,blue,i,b,1,0.9358775,,,
BLUE,green,i,g,1,0.7349404,,,
YELLOW,green,i,g,1,0.4725454,,,
RED,blue,i,b,1,1.6650539,,,
BLUE,green,i,g,1,0.4510821,,,
RED,yellow,i,y,1,0.6248511,,,
RED,green,i,g,1,0.6234793,,,
GREEN,red,i,r,1,1.4470461,,,
YELLOW,blue,i,b,1,1.3664222,,,
YELLOW,green,i,g,1,0.9465364,,,
BLUE,red,i,r,1,1.8001917,,,
GREEN,yellow,i,y,1,0.8912308,,,
BLUE,yellow,i,y,1,0.5154188,,,
GREEN,blue,i,b,0,1.163824,,,
YELLOW,red,i,r,1,2.8259313,,,
GREEN,blue,i,b,1,0.6602157,,,
YELLOW,blue,i,b,1,0.5227642,,,
GREEN,yellow,i,y,1,0.7765627,,,
BLUE,red,i,r,1,0.6448016,,,
YELLOW,green,i,g,1,0.6444391,,,
RED,green,i,g,1,0.5012695,,,
BLUE,green,i,g,1,1.5328708,,,
GREEN,red,i,r,1,1.0720122,,,
BLUE,yellow,i,y,1,0.6169054,,,
YELLOW,red,i,r,1,1.3220785,,,
RED,yellow,i,y,1,0.7196542,,,
RED,blue,i,b,1,2.2467749,,,
GREEN,blue,i,b,1,1.3127817,,,
RED,green,i,g,1,0.7423211,,,
BLUE,yellow,i,y,1,0.7962607,,,
GREEN,red,i,r,1,0.8220196,,,
GREEN,yellow,i,y,1,0.8447762,,,
RED,blue,i,b,1,0.7611186,,,
BLUE,green,i,g,1,0.842633,,,
YELLOW,blue,i,b,1,0.720063,,,
YELLOW,green,i,g,1,0.6646249,,,
YELLOW,red,i,r,1,0.8329672,,,
RED,yellow,i,y,1,0.7032623,,,
BLUE,red,i,r,1,0.9654952,,,
RED,yellow,i,y,1,1.7781294,,,
GREEN,red,i,r,1,0.8764253,,,
RED,green,i,g,1,0.9293511,,,
YELLOW,green,i,g,1,0.7892484,,,
YELLOW,red,i,r,1,0.9291112,,,
RED,blue,i,b,1,0.9582155,,,
BLUE,yellow,i,y,1,0.834037,,,
YELLOW,blue,i,b,1,0.8737203,,,
BLUE,red,i,r,1,3.1196557,,,
GREEN,blue,i,b,1,1.8624093,,,
GREEN,yellow,i,y,1,1.0761718,,,
BLUE,green,i,g,1,1.8172333,,,
YELLOW,blue,i,b,1,2.3192882,,,
GREEN,yellow,i,y,1,0.7857577,,,
GREEN,red,i,r,1,1.1965849,,,
YELLOW,green,i,g,1,1.0145136,,,
RED,yellow,i,y,1,1.4972336,,,
RED,blue,i,b,1,1.4866769,,,
RED,green,i,g,1,0.9748588,,,
BLUE,green,i,g,1,1.4443885,,,
BLUE,red,i,r,1,2.4198043,,,
BLUE,yellow,i,y,1,0.9419107,,,
YELLOW,red,i,r,1,2.053312,,,
GREEN,blue,i,b,1,0.6665394,,,
RED,green,i,g,1,0.6665736,,,
